direction,layer,pattern,mean_z_mean,mean_z_ci_lo,mean_z_ci_hi
or->and,6,TT,2.3669897079467774,2.0037935907280544,2.7301858251655005
or->and,7,TT,1.3940097093582153,1.0760613437922095,1.7119580749242211
or->and,8,TT,2.110297679901123,1.5878691188357286,2.6327262409665178
or->and,9,TT,1.6240550518035888,1.1748367096456676,2.07327339396151
or->and,10,TT,0.994381308555603,0.8422510457849448,1.1465115713262612
or->and,11,TT,1.5467596530914307,1.3136460072340592,1.7798732989488022
or->and,12,TT,1.5811864137649536,1.4182475396680152,1.744125287861892
or->and,13,TT,1.5305137157440185,1.351279671144709,1.709747760343328
or->and,14,TT,1.9164811372756958,1.7119639104893658,2.1209983640620256
or->and,15,TT,2.2451216697692873,2.062487588753452,2.4277557507851224
or->and,16,TT,2.2332733154296873,2.071465805485806,2.3950808253735687
or->and,17,TT,2.3173946380615233,2.196394754752955,2.4383945213700917
or->and,18,TT,2.273853302001953,2.1859313660071935,2.3617752379967127
or->and,19,TT,2.3917300701141357,2.2369492092540724,2.546510930974199
or->and,20,TT,2.0931050777435303,1.9680365793007903,2.2181735761862704
or->and,21,TT,2.483566236495972,2.3710726620092566,2.596059810982687
or->and,22,TT,2.1293502330780028,1.9820852961481545,2.276615170007851
or->and,23,TT,2.069123697280884,1.8882750200687795,2.2499723744929883
or->and,24,TT,1.73447585105896,1.523062317997358,1.945889384120562
or->and,25,TT,1.8105266094207764,1.5137229538379326,2.10733026500362
or->and,26,TT,1.7602782726287842,1.3707065382966914,2.149850006960877
or->and,27,TT,1.7762202501296998,1.3898408055274767,2.162599694731923
or->and,0,TF,0.034730127360671756,-0.04240577542994979,0.1118660301512933
or->and,1,TF,0.19035620391368865,0.08403657696631298,0.2966758308610643
or->and,2,TF,0.7837124407291413,0.5101551664326893,1.0572697150255932
or->and,3,TF,1.27972412109375,0.9407393573651388,1.6187088848223612
or->and,4,TF,0.9066625893115997,0.4802192561918866,1.3331059224313129
or->and,5,TF,2.5336185455322267,2.226107429407888,2.841129661656565
or->and,6,TF,1.5145439386367798,1.136760691540205,1.8923271857333546
or->and,7,TF,0.3042315609753132,-0.005528156152440067,0.6139912781030664
or->and,8,TF,1.0308131575584412,0.5402145545636567,1.5214117605532256
or->and,9,TF,0.788400548696518,0.36342173965137736,1.2133793577416587
