resample,b2_minus_b1_crossover_layer,ft_minus_tf_crossover_layer
547,18.357793524772582,18.094305405953204
548,17.994530747609442,18.073324074310868
549,18.23427255664249,17.856911377999577
550,18.051721081970843,18.33058135260403
551,18.03470622690682,17.94452831534796
552,17.921231415693693,17.925302491999023
553,18.00386832726783,18.37830620913787
554,18.025594755169138,18.249752481687874
555,17.88806420986344,18.201439440960606
556,18.032656791424856,18.24084759853227
557,17.776018931633104,18.059623402573248
558,18.13808060860349,17.80428287954832
559,17.284077348133618,18.293735701581824
560,18.16058450886961,18.18347584525418
561,17.93317142846012,18.15715360768388
562,18.178075321947638,18.21884780647462
563,17.97330346317594,17.60652028210424
564,18.00222837362264,18.017643185491856
565,18.177960767004016,18.092134887615707
566,18.0158649400518,18.244753078226413
567,17.925984516928857,18.30513715441082
568,18.176504164322413,17.91747865667716
569,18.30188902413552,18.014047236763055
570,18.031541749790556,17.528388519978968
571,18.292959062372795,18.042346231281815
572,18.01464988233316,18.279322481551993
573,18.01267890435533,18.275426465415176
574,17.62938206389013,18.02929287228649
575,18.01187771517643,17.991109469974656
576,17.814826972355576,18.235669998614966
577,17.6839011535655,18.295232515193394
578,18.12526375080778,17.895599414653944
579,17.919236302038247,18.234812772199195
580,18.053283424686207,18.112250139572133
581,18.25153488947299,17.576469893594034
582,17.9114629173202,18.483808645282096
583,17.885383119744485,17.985576511056816
584,18.180715100839418,18.220067254666052
585,18.272625305491097,18.079707894475348
586,18.194771277568123,18.106189480167497
587,17.86355939935157,18.136403284137977
588,17.98244931361501,18.183438040863816
589,18.15062728224711,17.892591466179162
590,17.878023693525456,18.218286759426235
591,17.775171699966222,18.005730253439076
592,18.0098101273169,18.199850590619967
593,17.824214894157986,18.250035668277544
594,17.75850070265174,18.23203507879058
595,17.92910828251429,18.162511003665344
596,17.87489679561668,18.159736812957213
597,17.938231514133474,17.830731894979085
598,18.352867727792677,17.64684382630178
599,18.133391592018405,17.868901715377252
600,18.062792975241063,18.36766429793058
601,18.06833041940202,18.348065522318276
602,18.164615605226714,18.160578876584665
603,17.777503590930834,17.95555685739523
604,17.586906323060642,18.009174691059016
605,17.829285790975785,17.93612854037395
606,18.16769073947492,18.34967842216595
607,18.063341346018568,18.042352279693475
608,18.411210777075773,18.146455038417848
609,18.25278027131949,17.874370463149702
610,17.71864760427397,18.189608031530884
611,17.966119687378466,18.268791352773025
612,17.902676513017244,18.371280898832424
613,18.088711928842372,18.51510441101059
614,18.09800605890784,18.167079387838722
615,18.044584548787483,18.395535605210966
616,17.908596828429094,18.123149591190163
617,18.036356751741227,17.93342182543184
618,18.35865811062483,18.22957528876183
