label_scheme,layer,auroc_mean,auroc_ci_lo,auroc_ci_hi
conjunct_count,4,0.5183704166666667,0.5115143285090225,0.525226504824311
conjunct_count,5,0.6441791666666666,0.6378660488150142,0.6504922845183191
conjunct_count,6,0.6719095833333333,0.6679822208915674,0.6758369457750991
conjunct_count,7,0.7162041666666668,0.7133319314888725,0.719076401844461
conjunct_count,8,0.7252158333333333,0.718005265665872,0.7324264010007946
conjunct_count,9,0.70408875,0.698095268495056,0.7100822315049441
conjunct_count,10,0.7670712500000001,0.754544614140702,0.7795978858592982
conjunct_count,11,0.7334674999999999,0.716697395069168,0.7502376049308319
conjunct_count,12,0.6966175,0.6865855875144404,0.7066494124855596
conjunct_count,13,0.8274437500000001,0.8216202567612401,0.8332672432387602
conjunct_count,14,0.7817570833333333,0.7540447881423259,0.8094693785243406
conjunct_count,15,0.81922625,0.7924766154833967,0.8459758845166034
conjunct_count,16,0.7618425,0.7335932643531387,0.7900917356468613
conjunct_count,17,0.8553033333333332,0.8427158453923821,0.8678908212742843
conjunct_count,18,0.8385895833333332,0.8248096420881922,0.8523695245784743
conjunct_count,19,0.8146175,0.8005404121880038,0.8286945878119962
conjunct_count,20,0.7764454166666667,0.7624057352115693,0.790485098121764
conjunct_count,21,0.7552083333333333,0.7391714180937226,0.771245248572944
conjunct_count,22,0.7349287500000001,0.7232463093662104,0.7466111906337899
conjunct_count,23,0.7023645833333333,0.6866327855588006,0.718096381107866
conjunct_count,24,0.7159808333333333,0.700516970065634,0.7314446966010326
conjunct_count,25,0.7303958333333332,0.7176112188437118,0.7431804478229547
conjunct_count,26,0.7213225,0.7031950255178838,0.7394499744821161
conjunct_count,27,0.6945566666666666,0.6787610150299856,0.7103523183033476
